"lvl_def_id","nb_success","nb_attempts","nb_people_there_atm","nb_churners","nb_users_been_there","nb_couldvechurned","avg_regular_torpedoes_used","avg_regular_torpedoes_left","avg_triple_torpedoes_used","avg_homing_torpedoes_used","game_length","lvl","APS","churn_rate","avg_time_spend","fun","AirCarrier","AirCarrier2","Attacker","Battleship","Battleship2","Bulker","Bulker2","Bulker3_planes","Destroyer","Destroyer2","Destroyer3","Destroyer3_ram","Destroyer3_shootBack","Hospital","Iceberg","Mountain","Mountain2","Mountain3","Mountain4","Mountain5","Plane1","Plane2","Plane2_shootBack","SmallTorpedoBoat","Submarine","SubmarineDive","Tanker","Tanker2","Transport","Transport2","Triton","TritonDive","NightVision","Underwater","ArcticSnow","LightRain","LightSnow","Regular","StormRain"
"Level_9",18820,20367,867,466,16584,11408,5.9,4.5,0.13,0.11,1270723327,25,1.08219978746015,0.0408485273492286,76.6234519416305,1.44296303682569,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Level_99",12755,22304,1128,526,13146,8825,3.8,1.8,0.11,0.21,1766009662,26,1.74864758918071,0.0596033994334278,134.338176023125,1.27091501101677,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Level_102",15670,16869,733,361,14180,9647,5.8,2.3,0.11,0.12,1187070601,27,1.07651563497128,0.0374209598839017,83.7144288434415,1.62761141931222,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Level_90083",10444,48005,3722,1737,13631,9193,6.4,6.1,0.2,0.24,3029209124,28,4.59641899655304,0.188948112694441,222.229412662314,0.996220985715733,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Level_92",10117,15567,1011,432,10473,6909,7.3,2.9,0.22,0.3,1384092990,29,1.53869724226549,0.0625271385149805,132.158215411057,1.5374215914285,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Level_46",10253,13460,591,268,10253,6772,2.7,3.4,0.17,0.22,1286692050,30,1.31278650151175,0.0395747194329592,125.494201697064,0.255648554053388,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Level_90077",12643,19588,1234,563,11917,8087,9.4,2.3,0.33,0.38,2635842469,31,1.54931582693981,0.0696179052800791,221.183390870185,0.226843481792234,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Level_51",9881,11000,473,212,9754,6425,5.1,2.1,0.1,0.13,651357613,32,1.11324764699929,0.0329961089494163,66.7785127127332,1.97473753796134,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Level_20087",9378,16186,808,331,9680,6359,6.1,1.9,0.21,0.27,1344086430,33,1.72595436127106,0.0520522094668973,138.85190392562,1.47689087114041,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Level_90016",12300,13945,594,286,11090,7497,3.3,2.7,0.08,0.08,731351821,34,1.13373983739837,0.0381485927704415,65.9469631199279,0.246926489263057,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Level_52",9472,11569,434,189,9337,6114,3.4,1,0.08,0.14,481428274,35,1.22138935810811,0.0309126594700687,51.5613445432152,2.53000566711257,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Level_105",12554,13102,626,328,11028,7441,9.9,8.1,0.3,0.16,1311327183,36,1.04365142584037,0.044080096761188,118.908884929271,0.229319151247207,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"Level_123",12176,13924,672,312,10861,7349,4.5,1.7,0.12,0.17,996307597,37,1.14356110381078,0.0424547557490815,91.7325842003499,0.461846596743194,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Level_74",9283,9781,431,177,9053,5906,6.8,3.3,0.15,0.11,716260145,38,1.05364645050092,0.0299695225194717,79.1185402628963,1.39216814572787,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Level_71",9195,12407,529,205,9150,5964,4.5,1.1,0.11,0.2,864395021,39,1.34932028276237,0.0343729040912139,94.4694012021858,1.1955424636418,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"Level_90014",12160,13415,576,239,10586,7112,6.1,2.1,0.14,0.1,966823767,40,1.10320723684211,0.0336051743532058,91.3304144152654,0.803431235348869,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
